t,V
0,12.2039
0.987,12.204
1.988,12.1937
2.987,12.1903
3.988,12.1844
4.987,12.1792
5.988,12.1729
6.987,12.1678
7.988,12.1604
8.987,12.1544
9.988,12.1515
10.988,12.1431
11.987,12.1376
12.988,12.1282
13.988,12.1234
14.987,12.1156
15.988,12.1087
16.987,12.1032
17.988,12.0949
18.987,12.0876
19.987,12.0813
20.988,12.0745
21.987,12.0681
22.988,12.0618
23.987,12.056
24.988,12.0489
25.987,12.0418
26.988,12.0355
27.987,12.029
28.987,12.0223
29.987,12.0146
30.988,12.009
31.987,12.0017
32.988,11.9936
33.988,11.9871
34.987,11.9795
35.988,11.9724
36.987,11.9641
37.987,11.9585
38.988,11.9519
39.988,11.9431
40.987,11.9369
41.988,11.9296
42.987,11.9235
43.988,11.9157
44.987,11.9094
45.988,11.9013
46.987,11.8946
47.988,11.887
48.987,11.8797
49.987,11.8724
50.988,11.8655
51.987,11.859
52.988,11.8514
53.988,11.8455
54.987,11.8379
55.988,11.8314
56.987,11.8252
57.988,11.8175
58.987,11.8095
59.988,11.8037
60.987,11.7962
61.988,11.7895
62.987,11.7811
63.987,11.7745
64.988,11.7682
65.987,11.7608
66.987,11.7526
67.988,11.7473
68.987,11.7399
69.988,11.7326
70.987,11.7261
71.988,11.719
72.987,11.7126
73.987,11.7052
74.987,11.6997
75.987,11.6914
76.988,11.6847
77.987,11.6768
78.987,11.6709
79.988,11.6633
80.987,11.6561
81.988,11.6508
82.988,11.644
83.987,11.637
84.988,11.6313
85.987,11.6246
86.988,11.6175
87.987,11.6109
88.988,11.6045
89.987,11.5959
90.988,11.5891
91.988,11.5829
92.987,11.5753
93.988,11.5699
94.988,11.5637
95.987,11.5541
96.987,11.5474
97.988,11.5418
98.988,11.536
99.987,11.529
100.987,11.5233
101.987,11.5159
102.987,11.5103
103.988,11.5041
104.987,11.4971
105.988,11.4896
106.988,11.4838
107.988,11.4771
108.987,11.4709
109.988,11.4646
110.987,11.4583
111.987,11.4509
112.987,11.445
113.988,11.4389
114.987,11.4319
115.987,11.4246
116.987,11.4188
117.987,11.4115
118.988,11.4059
119.987,11.3986
120.988,11.3927
121.987,11.387
122.987,11.3803
123.988,11.3738
124.988,11.367
125.987,11.3599
126.988,11.3539
127.988,11.3471
128.987,11.3409
129.988,11.335
130.988,11.3274
131.987,11.3197
132.988,11.3135
133.987,11.3081
134.988,11.3025
135.988,11.2955
136.987,11.288
137.988,11.2807
138.987,11.2749
139.987,11.2669
140.988,11.2618
141.988,11.2545
142.987,11.2485
143.987,11.2423
144.988,11.2349
145.988,11.2283
146.987,11.2223
147.987,11.2153
148.988,11.2094
149.987,11.2023
150.987,11.1959
151.988,11.1891
152.988,11.1821
153.987,11.1767
154.988,11.1695
155.988,11.1621
156.988,11.1558
157.987,11.1524
158.988,11.1449
159.988,11.1379
160.988,11.1317
161.987,11.1262
162.988,11.1202
163.987,11.1138
164.987,11.1073
165.988,11.1012
166.987,11.0957
167.988,11.0891
168.988,11.0826
169.988,11.0765
170.988,11.0708
171.988,11.0655
172.987,11.0584
173.988,11.0521
174.988,11.0459
175.988,11.0398
176.988,11.0334
177.987,11.0274
178.987,11.0213
179.988,11.0154
180.988,11.0091
181.988,11.0041
182.987,10.9978
183.988,10.9921
184.988,10.9885
185.987,10.9816
186.987,10.9751
187.988,10.9692
188.988,10.9628
189.987,10.9572
190.987,10.9518
191.987,10.9462
192.988,10.9396
193.987,10.934
194.987,10.9288
195.988,10.922
196.988,10.9169
197.987,10.9103
198.987,10.9046
199.988,10.8992
200.987,10.8932
201.987,10.8865
202.987,10.8804
203.988,10.8748
204.987,10.8685
205.987,10.8626
206.988,10.8568
207.988,10.8501
208.988,10.844
209.987,10.8385
210.987,10.8326
211.987,10.8273
212.987,10.8212
213.988,10.813
214.988,10.8092
215.987,10.8029
216.988,10.7963
217.988,10.7907
218.987,10.7841
219.987,10.777
220.988,10.7711
221.988,10.7646
222.987,10.7596
223.987,10.7537
224.987,10.7472
225.988,10.7399
226.988,10.7343
227.988,10.7275
228.988,10.7216
229.988,10.7161
230.987,10.7093
231.987,10.7049
232.987,10.6978
233.987,10.6908
234.987,10.6838
235.987,10.6778
236.988,10.6713
237.988,10.6662
238.987,10.6608
239.987,10.6547
240.987,10.6477
241.988,10.6418
242.988,10.6367
243.988,10.6298
244.988,10.6241
245.988,10.6183
246.987,10.6135
247.988,10.6058
248.987,10.6013
249.987,10.5956
250.986,10.5899
251.986,10.5827
252.987,10.5796
253.987,10.5732
254.986,10.5676
255.986,10.5607
256.986,10.5547
257.986,10.5493
258.986,10.5447
259.986,10.5359
260.986,10.5306
261.987,10.528
262.987,10.5231
263.987,10.5157
264.987,10.5098
265.987,10.5034
266.986,10.4981
267.986,10.4913
268.987,10.4863
269.987,10.4811
270.986,10.4735
271.986,10.468
272.987,10.4619
273.987,10.4569
274.987,10.45
275.987,10.444
276.986,10.439
277.986,10.434
278.986,10.4272
279.986,10.421
280.987,10.4161
281.987,10.4109
282.987,10.4046
283.986,10.4003
284.986,10.3943
285.987,10.3879
286.987,10.3822
287.986,10.3775
288.986,10.37
289.986,10.3643
290.986,10.3596
291.986,10.3542
292.987,10.3484
293.986,10.3414
294.986,10.3361
295.986,10.3305
296.986,10.3243
297.987,10.3187
298.987,10.3123
299.986,10.305
300.986,10.3
301.986,10.2951
302.987,10.2895
303.987,10.2843
304.986,10.2774
305.986,10.2732
306.986,10.2667
307.986,10.2625
308.986,10.2557
309.987,10.251
310.987,10.2455
311.987,10.2406
312.987,10.2346
313.987,10.2285
314.987,10.2228
315.987,10.2174
316.987,10.2111
317.987,10.2061
318.986,10.2008
319.986,10.1941
320.986,10.1891
321.986,10.1834
322.986,10.1773
323.986,10.1717
324.987,10.1673
325.986,10.161
326.986,10.1556
327.987,10.1501
328.987,10.1452
329.987,10.1395
330.987,10.1352
331.987,10.1292
332.987,10.1235
333.987,10.117
334.987,10.1126
335.986,10.1059
336.986,10.1003
337.986,10.0949
338.986,10.0895
339.986,10.0831
340.986,10.0784
341.986,10.0727
342.986,10.0666
343.986,10.0613
344.986,10.0558
345.986,10.0504
346.986,10.0455
347.986,10.0393
348.986,10.0332
349.986,10.0269
350.987,10.0218
351.987,10.016
352.987,10.0113
353.987,10.0037
354.988,9.999
355.988,9.9939
356.987,9.9876
357.987,9.9836
358.987,9.9777
359.987,9.9728
360.987,9.9675
361.987,9.9619
362.987,9.9561
363.987,9.9505
364.987,9.9447
365.988,9.9406
366.988,9.9355
367.988,9.9295
368.988,9.9245
369.987,9.9182
370.987,9.9129
371.987,9.9071
372.988,9.902
373.988,9.8983
374.988,9.8923
375.987,9.8877
376.988,9.8826
377.988,9.8775
378.988,9.8725
379.987,9.8666
380.987,9.8632
381.988,9.8574
382.987,9.8524
383.988,9.8471
384.988,9.8414
385.987,9.8357
386.987,9.8303
387.988,9.8238
388.988,9.8184
389.988,9.8123
390.988,9.8075
391.988,9.8007
392.987,9.7973
393.988,9.7928
394.988,9.7871
395.988,9.7805
396.987,9.7751
397.987,9.7694
398.987,9.7644
399.987,9.7591
400.987,9.7525
401.988,9.7482
402.988,9.7425
403.987,9.7368
404.987,9.7313
405.988,9.7258
406.988,9.7203
407.988,9.7149
408.988,9.7101
409.987,9.7052
410.987,9.6992
411.988,9.6933
412.988,9.6886
413.987,9.6833
414.987,9.6775
415.988,9.6724
416.988,9.6678
417.988,9.6617
418.987,9.6572
419.987,9.6512
420.987,9.6454
421.987,9.6407
422.988,9.6366
423.988,9.6304
424.988,9.6252
425.987,9.6192
426.987,9.6141
427.988,9.6094
428.988,9.6047
429.988,9.5992
430.987,9.5932
431.987,9.5887
432.988,9.583
433.988,9.5781
434.988,9.5729
435.988,9.568
436.987,9.5624
437.988,9.5578
438.988,9.5522
439.988,9.5481
440.988,9.5432
441.987,9.5378
442.988,9.5331
443.988,9.5269
444.988,9.5215
445.988,9.518
446.987,9.5123
447.988,9.5076
448.988,9.5021
449.987,9.496
450.988,9.4919
451.988,9.487
452.987,9.4817
453.988,9.4773
454.988,9.4724
455.987,9.4659
456.987,9.4616
457.988,9.4565
458.988,9.4514
459.988,9.4459
460.988,9.4416
461.987,9.4361
462.988,9.4323
463.988,9.4251
464.988,9.42
465.988,9.4152
466.987,9.4106
467.988,9.4057
468.988,9.3999
469.987,9.3954
470.987,9.3898
471.988,9.3853
472.988,9.3804
473.987,9.3748
474.988,9.3704
475.988,9.3648
476.988,9.3601
477.988,9.3559
478.987,9.3509
479.988,9.3452
480.988,9.3404
481.987,9.3362
482.988,9.3305
483.988,9.3246
484.987,9.3197
485.988,9.3156
486.988,9.3103
487.987,9.3054
488.988,9.3012
489.988,9.2961
490.988,9.2915
491.988,9.2856
492.987,9.2803
493.988,9.277
494.988,9.2716
495.988,9.2667
496.988,9.2612
497.987,9.2571
498.988,9.2512
499.988,9.2469
500.987,9.2426
501.988,9.2369
502.988,9.232
503.987,9.2275
504.988,9.2225
505.988,9.217
506.987,9.2128
507.988,9.2077
508.987,9.2033
509.988,9.1976
510.988,9.1917
511.987,9.1881
512.987,9.1829
513.988,9.1779
514.988,9.1735
515.987,9.169
516.987,9.1643
517.988,9.1588
518.988,9.1536
519.987,9.1492
520.987,9.1441
521.988,9.1398
522.988,9.1341
523.988,9.1297
524.988,9.1241
525.988,9.1195
526.987,9.115
527.988,9.1113
528.987,9.106
529.987,9.1006
530.988,9.0958
531.988,9.0903
532.988,9.0864
533.988,9.0802
534.987,9.0762
535.988,9.0714
536.988,9.0664
537.988,9.061
538.988,9.0549
539.987,9.0507
540.987,9.0452
541.988,9.04
542.987,9.0364
543.987,9.0306
544.988,9.0265
545.988,9.0212
546.987,9.0168
547.988,9.0118
548.988,9.0066
549.987,9.0025
550.988,8.9975
551.988,8.9922
552.987,8.9879
553.988,8.9823
554.988,8.9782
555.988,8.973
556.988,8.9671
557.987,8.9639
558.988,8.9579
559.988,8.9528
560.988,8.9492
561.988,8.9437
562.987,8.938
563.987,8.9338
564.988,8.9289
565.988,8.9234
566.988,8.9188
567.988,8.9141
568.987,8.9097
569.988,8.9056
570.987,8.9006
571.987,8.8953
572.988,8.8909
573.987,8.8855
574.987,8.8803
575.988,8.8749
576.987,8.8715
577.988,8.8657
578.988,8.8618
579.988,8.8561
580.987,8.8519
581.988,8.8456
582.988,8.8428
583.987,8.8372
584.988,8.8316
585.987,8.8275
586.987,8.8229
587.988,8.8173
588.987,8.8134
589.988,8.8086
590.987,8.8039
591.988,8.7995
592.987,8.7941
593.988,8.7894
594.987,8.785
595.987,8.7807
596.988,8.7764
597.987,8.772
598.988,8.7673
599.987,8.762
600.987,8.7577
601.987,8.7526
602.988,8.7498
603.987,8.7409
604.988,8.7397
605.987,8.7343
606.988,8.7299
607.988,8.7253
608.988,8.7222
609.988,8.7177
610.987,8.7125
611.988,8.7074
612.988,8.7042
613.987,8.6994
614.988,8.695
615.988,8.6901
616.988,8.6844
617.987,8.6804
618.988,8.6764
619.988,8.6712
620.987,8.6679
621.987,8.662
622.988,8.6573
623.988,8.6543
