t,V
0,13.076
0.992,13.05
1.993,13.0255
2.993,13.0018
3.993,12.9716
4.992,12.9436
5.992,12.9153
6.992,12.8902
7.992,12.8639
8.992,12.836
9.992,12.8073
10.992,12.7781
11.993,12.7499
12.993,12.7229
13.993,12.6946
14.993,12.6658
15.992,12.6388
16.993,12.612
17.992,12.583
18.993,12.5562
19.993,12.5273
20.993,12.5011
21.993,12.4741
22.992,12.4476
23.993,12.4212
24.993,12.3929
25.992,12.3667
26.992,12.3408
27.992,12.3127
28.993,12.2856
29.993,12.2575
30.992,12.2317
31.993,12.2059
32.992,12.1795
33.992,12.1534
34.993,12.1269
35.992,12.1002
36.992,12.0733
37.992,12.0463
38.992,12.0212
39.992,11.9945
40.993,11.9679
41.993,11.9407
42.992,11.9152
43.992,11.8899
44.993,11.8649
45.993,11.8401
46.993,11.8126
47.992,11.7877
48.992,11.761
49.993,11.7344
50.992,11.7096
51.992,11.685
52.993,11.6616
53.992,11.6366
54.993,11.6091
55.992,11.5838
56.993,11.5583
57.992,11.5325
58.992,11.5068
59.993,11.4838
60.993,11.4584
61.992,11.4342
62.993,11.409
63.993,11.3846
64.992,11.3608
65.992,11.3361
66.993,11.3113
67.993,11.2881
68.992,11.2626
69.992,11.238
70.992,11.2139
71.993,11.1891
72.992,11.1644
73.993,11.1418
74.993,11.1165
75.992,11.0938
76.993,11.0699
77.993,11.0464
78.993,11.022
79.993,10.9987
80.992,10.9742
81.993,10.9512
82.992,10.9285
83.992,10.9036
84.993,10.8797
85.993,10.8557
86.992,10.8319
87.993,10.8094
88.993,10.7855
89.992,10.7612
90.992,10.7386
91.993,10.715
92.992,10.6909
93.992,10.6682
94.993,10.6454
95.993,10.6221
96.992,10.5986
97.992,10.5765
98.991,10.5537
99.992,10.531
100.992,10.5076
101.991,10.4853
102.992,10.4615
103.991,10.4393
104.991,10.4178
105.992,10.3941
106.991,10.3715
107.992,10.3492
108.991,10.3261
109.992,10.3045
110.991,10.2796
111.992,10.2604
112.991,10.2369
113.992,10.2155
114.991,10.1938
115.991,10.1724
116.992,10.1511
117.991,10.1284
118.992,10.1075
119.992,10.0858
120.991,10.0628
121.992,10.0412
122.991,10.019
123.993,9.9975
124.993,9.9763
125.992,9.9536
126.993,9.9319
127.992,9.9107
128.993,9.8899
129.993,9.8687
130.993,9.847
131.993,9.8253
132.992,9.8038
133.993,9.7855
134.993,9.7635
135.993,9.7433
136.993,9.7222
137.992,9.7013
138.993,9.6825
139.992,9.6609
140.993,9.6399
141.993,9.6192
142.993,9.5989
143.992,9.5788
144.992,9.5588
145.993,9.5373
146.993,9.5178
147.993,9.4973
148.993,9.4762
149.993,9.4557
150.993,9.4354
151.993,9.4157
152.992,9.3948
153.992,9.3747
154.992,9.3538
155.992,9.3348
156.992,9.3151
157.993,9.2956
158.993,9.2752
159.992,9.2548
160.993,9.2364
161.993,9.2162
162.992,9.1964
163.993,9.1772
164.993,9.1577
165.993,9.1385
166.993,9.119
167.992,9.1005
168.993,9.0798
169.992,9.0616
170.992,9.0419
171.993,9.0229
172.993,9.0052
173.992,8.9854
174.992,8.9679
175.993,8.9493
176.993,8.9307
177.992,8.9109
178.992,8.8929
179.993,8.8744
180.993,8.8558
181.993,8.8378
182.993,8.8191
183.993,8.8
184.993,8.7819
185.993,8.764
186.993,8.7455
187.992,8.7271
188.992,8.7078
189.993,8.6903
190.993,8.6713
191.993,8.6527
192.993,8.6351
193.992,8.6166
194.994,8.5983
195.993,8.58
196.993,8.5621
197.992,8.5434
198.993,8.5262
199.993,8.5093
200.992,8.4901
201.993,8.4732
202.993,8.4549
203.993,8.4373
204.993,8.4199
205.993,8.4026
206.993,8.384
207.992,8.3659
208.993,8.3495
209.992,8.3305
210.993,8.3139
211.992,8.296
212.993,8.2797
213.992,8.2611
214.993,8.2447
215.993,8.2272
216.992,8.2088
217.993,8.1929
218.993,8.1757
219.992,8.1581
220.993,8.1409
221.992,8.1237
222.992,8.1073
223.993,8.0903
224.993,8.0748
225.993,8.0573
226.993,8.04
227.992,8.0225
228.993,8.0064
229.992,7.9893
230.992,7.9728
231.993,7.9566
232.993,7.9402
233.992,7.9244
234.993,7.9077
235.992,7.8914
236.992,7.8743
237.993,7.8584
238.993,7.8429
239.992,7.8265
240.993,7.8099
241.993,7.794
242.993,7.7776
243.993,7.7617
244.992,7.7443
245.993,7.7286
246.993,7.7129
247.993,7.6963
248.992,7.6807
249.993,7.6637
250.993,7.6483
251.993,7.6323
252.993,7.6159
253.993,7.6006
254.993,7.5844
255.992,7.569
256.992,7.5525
257.993,7.5369
258.993,7.5211
259.993,7.5063
260.993,7.4902
261.993,7.4756
262.993,7.4599
263.992,7.4443
264.993,7.429
265.993,7.4139
266.993,7.3987
267.993,7.3827
268.993,7.3674
269.993,7.3532
270.992,7.3375
271.992,7.3224
272.993,7.307
273.993,7.2922
274.993,7.2769
275.993,7.2629
276.992,7.2477
277.992,7.2319
278.993,7.2169
279.993,7.2022
280.993,7.1889
281.993,7.1733
282.993,7.1586
283.993,7.1449
284.993,7.1299
285.993,7.1152
286.993,7.1012
287.992,7.0867
288.992,7.0714
289.993,7.0586
290.993,7.0433
291.993,7.0284
292.992,7.0137
293.992,6.9989
294.993,6.9855
295.992,6.9706
296.992,6.9557
297.992,6.9417
298.992,6.9273
299.992,6.9127
300.992,6.8992
301.993,6.8844
302.993,6.8705
303.993,6.8556
304.993,6.8414
305.992,6.8274
306.992,6.8142
307.993,6.7988
308.993,6.7853
309.993,6.7707
310.993,6.7579
311.993,6.7434
312.993,6.7299
313.992,6.7161
314.992,6.7033
315.992,6.6894
316.992,6.6754
317.992,6.6616
318.992,6.6482
319.992,6.6347
320.992,6.621
321.992,6.6074
322.992,6.5939
323.992,6.5804
324.992,6.5668
325.993,6.5539
326.992,6.5412
327.992,6.5282
328.992,6.5146
329.992,6.5012
330.993,6.4882
331.992,6.4755
332.991,6.4617
333.992,6.4481
334.992,6.4354
335.992,6.4211
336.992,6.408
337.992,6.3964
338.992,6.3839
339.992,6.3699
340.992,6.3578
341.992,6.3457
342.992,6.3344
343.992,6.3184
344.992,6.3048
345.992,6.2914
346.992,6.2812
347.992,6.2694
348.992,6.2576
349.992,6.2437
350.992,6.2312
351.992,6.22
352.992,6.2068
353.992,6.194
354.993,6.1824
355.992,6.1705
356.992,6.1593
357.992,6.1456
358.992,6.1333
359.992,6.1207
360.992,6.1091
361.992,6.0968
362.992,6.0841
363.992,6.0727
364.992,6.0603
365.992,6.0481
366.992,6.0357
367.992,6.0241
368.992,6.0122
369.992,6.0005
370.992,5.9864
371.992,5.9757
372.992,5.9638
373.992,5.9518
