t,V
0,12.8867
0.999,12.8819
1.999,12.8776
3,12.8721
4,12.8666
5,12.8616
5.999,12.8562
6.999,12.8502
7.999,12.8445
9,12.8392
10,12.8335
11,12.8278
12,12.8219
12.999,12.8155
13.999,12.8093
15,12.8032
16,12.7968
17,12.7911
18,12.7848
19,12.7793
20,12.7737
21,12.7676
22,12.7614
22.999,12.7546
23.999,12.748
25,12.7422
26,12.7331
27,12.7289
27.999,12.7229
28.999,12.7173
30,12.7104
30.999,12.7016
32,12.6956
33,12.6892
34,12.6831
35,12.6757
35.999,12.6683
36.999,12.6631
38,12.6544
39,12.6468
40,12.6416
40.999,12.6344
41.999,12.6284
43,12.6208
44,12.6137
45,12.6071
46,12.5993
47,12.5921
48,12.5855
49,12.5797
50,12.5725
50.999,12.5664
51.999,12.5598
52.999,12.5531
54,12.546
55,12.5394
56,12.5327
56.999,12.526
58,12.5201
59,12.5114
60,12.5039
61,12.4983
62,12.492
63,12.4852
64,12.4782
65,12.4716
65.999,12.4662
66.999,12.4586
67.999,12.4525
68.999,12.4456
70,12.4396
71,12.4331
72,12.4263
73,12.421
74,12.4144
75,12.4076
76,12.4019
77,12.3959
78,12.3891
79,12.3836
79.999,12.3775
80.999,12.3715
81.999,12.3651
82.999,12.3581
83.999,12.3524
85,12.3462
86,12.3409
86.999,12.3328
88,12.3272
89,12.3204
90,12.314
91,12.3081
92,12.3019
93,12.2963
94,12.289
95,12.2827
96,12.2761
97,12.2692
98,12.2632
98.999,12.2579
99.999,12.2502
100.999,12.2435
101.999,12.2379
103,12.2311
104,12.2257
105,12.22
106,12.2125
107,12.2064
108,12.2
109,12.1924
109.999,12.1863
110.999,12.18
111.999,12.1737
112.999,12.1666
113.999,12.1623
115,12.1545
115.999,12.149
117,12.1421
118,12.1363
119,12.1299
120,12.1244
121,12.1186
121.999,12.1119
122.999,12.1063
124,12.0994
125,12.0928
126,12.0871
127,12.0818
128,12.074
128.999,12.0678
129.999,12.0601
130.999,12.0546
132,12.0481
133,12.0415
133.999,12.0359
134.999,12.0289
135.999,12.0228
136.999,12.0159
137.999,12.0098
139,12.0045
140,11.9982
140.999,11.9912
141.999,11.9851
142.999,11.9811
143.999,11.9724
145,11.9658
145.999,11.9594
146.999,11.953
147.999,11.9462
148.999,11.9403
149.999,11.9353
150.999,11.9286
152,11.9228
153,11.9169
154,11.9106
154.999,11.9039
155.999,11.8992
157,11.8926
158,11.8861
159,11.8802
160,11.8736
161,11.8688
162,11.8624
163,11.856
163.999,11.8491
164.999,11.844
165.999,11.838
166.999,11.8324
167.999,11.8267
169,11.8215
169.999,11.8166
170.999,11.8094
171.999,11.804
173,11.7968
174,11.7914
174.999,11.7861
175.999,11.7794
176.999,11.7735
177.999,11.7676
178.999,11.7616
179.999,11.7555
180.999,11.7509
181.999,11.7443
182.999,11.7385
183.999,11.733
184.999,11.7273
185.999,11.7213
187,11.7146
188,11.7096
189,11.7039
190,11.698
191,11.6925
191.999,11.6868
193,11.6814
193.999,11.676
194.999,11.6698
195.999,11.6639
196.999,11.6577
197.999,11.652
198.999,11.6477
200,11.6424
201,11.6374
202,11.6298
203,11.6249
204,11.6199
205,11.6143
206,11.6091
207,11.6029
208,11.5973
209,11.5909
210,11.5855
211,11.58
211.999,11.5737
212.999,11.5679
213.999,11.5624
214.999,11.5568
215.999,11.5499
216.999,11.545
217.999,11.5384
219,11.5346
220,11.5268
221,11.5214
221.999,11.5147
222.999,11.5088
223.999,11.5044
224.999,11.498
225.999,11.4917
226.999,11.4858
227.999,11.4805
228.999,11.4744
230,11.4685
231,11.4634
232,11.4575
232.999,11.4517
233.999,11.4467
234.999,11.4405
235.999,11.4342
237,11.4285
238,11.4232
239,11.4184
240,11.4111
241,11.4055
241.999,11.4
242.999,11.3947
243.999,11.3882
245,11.3832
245.999,11.3782
246.999,11.3713
247.999,11.3658
249,11.3596
250,11.3542
250.999,11.3496
251.999,11.3442
252.999,11.3393
254,11.3329
255,11.3263
256,11.3212
256.999,11.3148
257.999,11.3095
258.999,11.304
259.999,11.2981
260.999,11.2922
261.999,11.2865
262.999,11.2806
263.999,11.2749
265,11.2689
266,11.2637
267,11.2584
267.999,11.2526
268.999,11.2481
269.999,11.242
271,11.2371
272,11.2308
273,11.2259
274,11.2204
275,11.2147
276,11.2097
277,11.2039
277.999,11.1984
278.999,11.1934
279.999,11.1871
280.999,11.1817
281.999,11.177
283,11.1707
284,11.1653
284.999,11.1605
285.999,11.1549
287,11.1503
288,11.1458
289,11.139
290,11.1351
291,11.1285
292,11.1226
292.999,11.119
293.999,11.1138
294.999,11.1074
296,11.1017
297,11.0974
298,11.0926
298.999,11.0874
299.999,11.0822
300.999,11.075
302,11.0706
303,11.0648
303.999,11.0604
304.999,11.0555
306,11.0494
307,11.045
308,11.0397
308.999,11.0351
309.999,11.03
311,11.0243
312,11.0188
313,11.013
313.999,11.0087
314.999,11.0035
315.999,10.9988
316.999,10.9929
318,10.9874
318.999,10.9825
319.999,10.9773
320.999,10.9717
322,10.9662
323,10.9608
323.999,10.9543
325,10.9501
326,10.9443
327,10.9392
327.999,10.9341
328.999,10.9283
330,10.9223
331,10.9186
331.999,10.912
333,10.906
334,10.9012
335,10.8967
335.999,10.8901
336.999,10.8848
337.999,10.8797
339,10.8756
340,10.8706
340.999,10.8662
342,10.8613
343,10.8559
343.999,10.8511
344.999,10.8466
346,10.841
346.999,10.8368
348,10.8315
349,10.826
349.999,10.8213
351,10.8165
352,10.8111
352.999,10.8063
353.999,10.8011
355,10.7949
356,10.7902
356.999,10.7843
358,10.7788
359,10.7731
359.999,10.7673
361,10.7616
362,10.7561
362.999,10.7505
364,10.7454
365,10.739
365.999,10.7339
366.999,10.7288
368,10.723
369,10.7179
369.999,10.7148
370.999,10.7099
371.999,10.704
373,10.6996
373.999,10.6961
374.999,10.6896
376,10.6872
377,10.6791
377.999,10.6753
378.999,10.6691
380,10.6648
381,10.6617
381.999,10.6565
383,10.6468
384,10.6458
384.999,10.6402
386,10.638
387,10.6312
387.999,10.6277
389,10.6236
390,10.6161
390.999,10.6112
392,10.6056
392.999,10.6005
393.999,10.5958
394.999,10.5911
395.999,10.5853
396.999,10.5802
397.999,10.5755
398.998,10.5706
399.998,10.566
400.998,10.56
401.999,10.5555
402.999,10.55
403.998,10.5442
404.998,10.5396
405.998,10.5342
406.999,10.5296
407.999,10.5247
408.998,10.5187
409.999,10.5144
410.999,10.51
411.999,10.5047
412.999,10.4992
413.998,10.4943
414.998,10.4892
415.998,10.4842
416.999,10.4798
417.999,10.4743
418.999,10.4687
419.998,10.4636
420.998,10.4584
421.999,10.4537
422.999,10.4483
423.998,10.4428
424.998,10.4374
425.998,10.4327
426.999,10.427
427.999,10.4228
428.998,10.4176
429.998,10.4136
430.999,10.4079
431.999,10.4032
432.998,10.3987
433.998,10.394
434.998,10.3892
435.998,10.3841
436.998,10.379
437.998,10.3741
438.998,10.3694
439.998,10.3644
440.998,10.3602
441.999,10.3545
442.999,10.3502
443.998,10.3461
444.999,10.3411
445.999,10.336
446.998,10.3319
447.999,10.3277
448.999,10.3228
449.998,10.3178
450.998,10.3126
451.999,10.308
452.998,10.3036
453.998,10.2992
454.998,10.2934
455.999,10.2893
456.999,10.284
457.998,10.28
458.998,10.2748
459.999,10.2697
460.999,10.2648
461.998,10.26
462.998,10.2545
463.999,10.2497
464.999,10.2443
465.998,10.2401
466.999,10.2363
467.999,10.2309
468.998,10.2272
469.999,10.2218
470.998,10.2171
471.998,10.2128
472.999,10.2079
473.999,10.2033
474.998,10.1988
475.998,10.1943
476.998,10.1901
477.999,10.1848
478.998,10.1798
479.998,10.1756
480.999,10.1708
481.998,10.1662
482.998,10.1621
483.999,10.157
484.998,10.1524
485.998,10.1482
486.999,10.1438
487.998,10.139
488.998,10.134
489.999,10.1286
490.999,10.1235
491.998,10.1183
492.999,10.114
493.998,10.1085
494.999,10.1039
495.998,10.0984
496.999,10.0936
497.999,10.0895
498.998,10.0837
499.999,10.079
500.999,10.0743
501.998,10.0686
502.999,10.0637
503.999,10.0594
504.998,10.054
505.999,10.0492
506.999,10.0445
507.999,10.0392
508.999,10.0335
509.999,10.0292
510.999,10.0251
511.999,10.02
512.999,10.0155
513.999,10.0109
514.998,10.0063
515.999,10.0029
517,9.9982
518,9.9936
519,9.9895
519.999,9.9853
521,9.9804
521.999,9.9758
523,9.9704
524,9.9659
525,9.9604
526,9.9548
526.999,9.9493
528,9.9446
529,9.9407
530,9.9355
531,9.9302
531.999,9.9253
533,9.9192
534,9.9149
534.999,9.9108
536,9.907
537,9.9012
537.999,9.8977
539,9.8935
540,9.8891
540.999,9.8849
542,9.8815
543,9.8754
543.999,9.8712
545,9.868
545.999,9.8643
547,9.8597
548,9.8551
548.999,9.8508
550,9.845
551,9.8412
552,9.8359
552.999,9.8301
554,9.8241
555,9.8224
556,9.8147
557,9.8101
558,9.8039
558.999,9.7989
559.999,9.7953
561,9.794
562,9.7868
563,9.7809
564,9.778
564.999,9.7753
566,9.7698
567,9.7664
568,9.7638
569,9.7591
569.999,9.7525
571,9.7468
572,9.744
573,9.7418
574,9.7328
575,9.7302
576,9.7233
576.999,9.7196
578,9.7171
579,9.7145
580,9.7033
581,9.7017
582,9.6957
583,9.6905
583.999,9.687
585,9.6814
586,9.6785
587,9.6717
587.999,9.6689
589,9.6638
590,9.6593
591,9.6559
591.999,9.6515
593,9.6473
593.999,9.643
594.999,9.6392
596,9.6342
597,9.63
598,9.6266
599.003,9.6212
600,9.6193
601,9.6139
601.999,9.6099
603,9.6045
603.999,9.6006
605,9.5992
605.999,9.5908
606.999,9.5861
608,9.5801
608.999,9.5772
610,9.572
611,9.5677
611.999,9.5651
613,9.5567
614,9.553
614.999,9.548
616,9.544
617,9.5403
618,9.5362
619,9.5314
620,9.527
621,9.5241
621.999,9.5201
623,9.515
624,9.5112
624.999,9.5062
626,9.5025
627,9.4983
628,9.4943
629,9.4898
629.999,9.4854
631,9.4804
632,9.4756
632.999,9.4724
634,9.4683
635,9.4649
635.999,9.4585
637,9.4542
638,9.4492
639,9.4466
639.999,9.4418
641,9.4363
642,9.4303
643,9.4272
644,9.4229
645,9.4181
646,9.4132
646.999,9.4085
648,9.4041
649,9.3988
650,9.3943
651,9.3899
652,9.3858
652.999,9.3822
653.999,9.3775
655,9.3738
656,9.3703
656.999,9.3656
657.999,9.3618
659,9.3574
660,9.3524
661,9.3489
661.999,9.3453
663,9.3405
664,9.3364
665,9.3328
666,9.3282
667,9.3247
667.999,9.3219
668.999,9.3183
669.999,9.3133
670.999,9.3098
672,9.3052
673,9.3011
674,9.2974
675,9.2924
676,9.2885
676.999,9.2838
677.999,9.2802
679,9.2747
680,9.2708
681,9.2666
681.999,9.2624
683,9.258
684,9.2538
684.999,9.2484
686,9.2447
687,9.2407
687.999,9.236
689,9.2316
690,9.2267
691,9.2221
692,9.2169
692.999,9.2127
694,9.2087
695,9.204
696,9.2009
696.999,9.197
698,9.1922
699,9.1879
700,9.1843
701,9.1803
702,9.1765
702.999,9.1724
703.999,9.1689
704.999,9.1651
706,9.161
707,9.1583
707.999,9.154
709,9.1499
710,9.1455
711,9.1417
712,9.1374
712.999,9.1334
713.999,9.1286
714.999,9.1247
715.999,9.1204
717,9.1159
718,9.113
719,9.1063
719.999,9.1024
720.999,9.0984
722,9.0948
723,9.0904
724,9.087
725,9.0811
726,9.0767
727,9.0719
727.999,9.0669
729,9.0631
730,9.0583
731,9.0543
732,9.0495
732.999,9.0463
733.999,9.0418
734.999,9.0385
736,9.0351
737,9.0309
738,9.0269
739,9.0237
739.999,9.0201
741,9.0148
742,9.0118
743,9.0081
744,9.0041
745,9.001
745.999,8.9966
747,8.9927
747.999,8.9885
748.999,8.9846
750,8.9809
751,8.9759
752,8.9714
753,8.967
754,8.9628
755,8.9589
755.999,8.9558
757,8.9514
758,8.9453
759,8.9402
759.999,8.9359
760.999,8.9314
762,8.9272
763,8.9236
764,8.9193
765,8.9149
766,8.9113
767,8.9083
768,8.904
769,8.9
770,8.8959
771,8.8918
771.999,8.8883
772.999,8.8849
773.999,8.8804
774.999,8.8767
775.999,8.8732
776.999,8.8693
778,8.8646
779,8.861
780,8.8577
781,8.8534
782,8.8495
783,8.8456
784,8.842
784.999,8.8381
785.999,8.8335
787,8.8298
788,8.8252
789,8.8216
790,8.8158
791,8.8124
792,8.8086
793,8.8045
793.999,8.7997
794.999,8.7955
796,8.7913
797,8.7878
798,8.7839
799,8.7801
800,8.7752
801,8.7714
802,8.7665
803,8.763
803.999,8.7583
805,8.7545
805.999,8.7509
806.999,8.7473
807.999,8.7446
809,8.7395
810,8.7361
811,8.7322
812,8.7299
813,8.725
813.999,8.7208
815,8.7177
816,8.7142
816.999,8.7105
817.999,8.7061
818.999,8.703
819.999,8.6984
821,8.6952
822,8.6909
822.999,8.6872
823.999,8.6838
824.999,8.68
825.999,8.6759
826.999,8.6727
827.999,8.6687
828.999,8.6645
830,8.6604
831,8.6564
832,8.6532
833,8.6497
834,8.6463
835,8.6422
836,8.6394
836.999,8.6353
837.999,8.6312
838.999,8.6275
839.999,8.6239
841,8.6204
842,8.616
843,8.6133
844,8.6086
845,8.6035
846,8.6013
847,8.5975
848,8.5926
849,8.5902
850,8.5846
851,8.5812
852,8.5776
853,8.5734
854,8.5689
854.999,8.5657
855.999,8.5616
857,8.5583
857.999,8.5465
858.999,8.5497
