t,V
0,10.3814
1.051,10.3683
2.1,10.3612
3.15,10.3475
4.183,10.3407
5.183,10.332
6.182,10.3228
7.183,10.3128
8.183,10.3026
9.182,10.2924
10.183,10.2823
11.182,10.2719
12.183,10.2622
13.182,10.2509
14.182,10.2397
15.183,10.2292
16.182,10.219
17.182,10.2089
18.183,10.1988
19.182,10.188
20.182,10.1764
21.183,10.1652
22.182,10.1551
23.182,10.144
24.183,10.1326
25.183,10.1225
26.182,10.112
27.182,10.1011
28.183,10.0906
29.183,10.0796
30.182,10.0692
31.182,10.0586
32.183,10.0475
33.183,10.0372
34.183,10.0265
35.183,10.0159
36.182,10.0056
37.183,9.9955
38.184,9.985
39.184,9.9745
40.184,9.9622
41.184,9.952
42.184,9.9422
43.184,9.9311
44.183,9.9201
45.183,9.91
46.183,9.9003
47.184,9.8893
48.184,9.8792
49.184,9.869
50.184,9.8578
51.183,9.8481
52.183,9.8368
53.183,9.8268
54.184,9.8165
55.184,9.8066
56.184,9.7972
57.184,9.7883
58.184,9.7781
59.184,9.7676
60.184,9.7575
61.184,9.7474
62.184,9.7373
63.184,9.7276
64.184,9.7177
65.183,9.7071
66.184,9.6982
67.184,9.6884
68.184,9.6787
69.184,9.6691
70.184,9.6602
71.184,9.6495
72.183,9.6395
73.183,9.6296
74.183,9.6202
75.183,9.6095
76.183,9.5994
77.183,9.5906
78.183,9.58
79.184,9.5705
80.184,9.5606
81.184,9.5502
82.183,9.5414
83.183,9.5326
84.183,9.5225
85.184,9.5114
86.184,9.5025
87.184,9.4938
88.184,9.4825
89.184,9.4726
90.184,9.4621
91.184,9.4516
92.184,9.4409
93.184,9.4309
94.184,9.4212
95.184,9.4116
96.184,9.4029
97.184,9.3906
98.183,9.3828
99.183,9.3725
100.183,9.3633
101.184,9.3534
102.184,9.3429
103.184,9.334
104.184,9.3253
105.184,9.3149
106.184,9.3011
107.184,9.2958
108.184,9.2877
109.184,9.2787
110.184,9.2697
111.183,9.2613
112.183,9.252
113.183,9.2423
114.183,9.2323
115.184,9.2235
116.184,9.2146
117.184,9.2056
118.184,9.1964
119.184,9.1865
120.184,9.1769
121.184,9.1665
122.184,9.157
123.184,9.1478
124.184,9.1379
125.183,9.1294
126.183,9.1193
127.183,9.1095
128.183,9.0998
129.183,9.091
130.183,9.0801
131.184,9.0704
132.184,9.0619
133.184,9.0521
134.184,9.0439
135.184,9.0349
136.184,9.0261
137.184,9.0182
138.184,9.0091
139.184,9.0005
140.184,8.9911
141.184,8.9823
142.184,8.9735
143.183,8.964
144.185,8.9559
145.184,8.9468
146.184,8.9386
147.184,8.9296
148.184,8.9201
149.183,8.9113
150.183,8.9021
151.184,8.8928
152.184,8.8832
153.184,8.8735
154.184,8.8638
155.184,8.8546
156.184,8.8453
157.184,8.8365
158.183,8.8267
159.183,8.8188
160.184,8.8101
161.184,8.8012
162.184,8.7916
163.183,8.7835
164.183,8.7735
165.183,8.7633
166.183,8.7558
167.183,8.7472
168.183,8.737
169.183,8.7279
170.183,8.7194
171.183,8.7114
172.183,8.7029
173.183,8.6948
174.183,8.6867
175.183,8.6785
176.184,8.6683
177.184,8.6614
178.184,8.6529
179.184,8.6443
180.184,8.6362
181.184,8.6279
182.184,8.6197
183.184,8.6099
184.183,8.6012
185.183,8.5941
186.184,8.5849
187.184,8.5761
188.184,8.5684
189.184,8.5601
190.184,8.5518
191.184,8.5438
192.184,8.5356
193.184,8.5269
194.184,8.5175
195.184,8.5075
196.183,8.4994
197.183,8.4909
198.183,8.4828
199.183,8.4742
200.183,8.466
201.184,8.4573
202.184,8.4487
203.184,8.4397
204.184,8.4321
205.183,8.424
206.183,8.4145
207.183,8.4069
208.184,8.3985
209.184,8.3903
210.184,8.382
211.184,8.3743
212.183,8.3652
213.184,8.357
214.184,8.3484
215.184,8.34
216.184,8.3315
217.184,8.3238
218.183,8.3148
219.183,8.3076
220.184,8.2985
221.184,8.2912
222.184,8.2828
223.184,8.274
224.184,8.2663
225.183,8.2577
226.184,8.2504
227.184,8.2416
228.184,8.2337
229.184,8.226
230.183,8.2169
231.183,8.2088
232.184,8.2004
233.184,8.1937
234.183,8.1847
235.184,8.1767
236.184,8.1679
237.184,8.1608
238.183,8.1525
239.183,8.1445
240.184,8.1366
241.184,8.1291
242.184,8.1209
243.183,8.1129
244.183,8.1048
245.183,8.0971
246.184,8.0895
247.184,8.0818
248.184,8.0733
249.183,8.0648
250.184,8.0568
251.184,8.049
252.184,8.0422
253.183,8.0335
254.184,8.0258
255.183,8.0174
256.183,8.0092
257.184,8.0023
258.184,7.9945
259.183,7.9864
260.184,7.9772
261.184,7.9694
262.184,7.9615
263.183,7.9531
264.183,7.9451
265.184,7.938
266.184,7.9306
267.184,7.9222
268.183,7.9137
269.183,7.9067
270.183,7.8983
271.184,7.8904
272.184,7.8828
273.183,7.8739
274.183,7.8672
275.184,7.8593
276.184,7.8511
277.184,7.8434
278.183,7.8355
279.183,7.8282
280.184,7.8196
281.184,7.8133
282.183,7.8057
283.183,7.7975
284.184,7.7901
285.184,7.7832
286.183,7.7759
287.184,7.7684
288.183,7.761
289.183,7.753
290.184,7.7458
291.184,7.739
292.184,7.7304
293.184,7.7246
294.184,7.7173
295.184,7.7089
296.183,7.7018
297.183,7.6949
298.184,7.687
299.184,7.6799
300.183,7.6725
301.184,7.665
302.184,7.6583
303.183,7.651
304.184,7.6437
305.184,7.6354
306.184,7.6295
307.184,7.6226
308.184,7.6152
309.183,7.6078
310.184,7.6011
311.184,7.5937
312.184,7.5865
313.183,7.5792
314.184,7.5712
315.184,7.5643
316.184,7.5566
317.184,7.5494
318.183,7.5428
319.184,7.5363
320.184,7.5284
321.183,7.5211
322.184,7.514
323.184,7.5074
324.183,7.4992
325.184,7.4918
326.184,7.4854
327.184,7.4774
328.184,7.47
329.183,7.4625
330.184,7.4555
331.184,7.4478
332.183,7.4402
333.184,7.4331
334.184,7.4269
335.184,7.4181
336.184,7.4121
337.183,7.405
338.184,7.3973
339.184,7.3905
340.183,7.3838
341.184,7.3771
342.184,7.3699
343.183,7.3624
344.184,7.3563
345.183,7.348
346.184,7.3408
347.184,7.3343
348.184,7.3265
349.184,7.3196
350.183,7.3116
351.184,7.3058
352.183,7.2983
353.184,7.2914
354.184,7.2846
355.184,7.277
356.184,7.27
357.183,7.2628
358.184,7.2568
359.183,7.2505
360.184,7.2431
361.183,7.2357
362.184,7.2288
363.184,7.2212
364.183,7.2145
365.184,7.2073
366.183,7.2004
367.184,7.1932
368.184,7.1862
369.183,7.1789
370.184,7.1721
371.183,7.1644
372.184,7.1577
373.184,7.1519
374.183,7.1436
375.183,7.1374
376.184,7.1312
377.184,7.1242
378.184,7.1171
379.183,7.11
380.183,7.1033
381.184,7.0973
382.184,7.0907
383.183,7.0837
384.183,7.0775
385.183,7.0714
386.184,7.064
387.184,7.0573
388.184,7.0503
389.184,7.0439
390.183,7.0371
391.183,7.0309
392.184,7.0239
393.184,7.018
394.184,7.011
395.183,7.0051
396.184,6.9987
397.184,6.9914
398.184,6.9857
399.184,6.978
400.183,6.9723
401.184,6.9645
402.184,6.9594
403.184,6.9524
404.184,6.9453
405.184,6.9383
406.184,6.9317
407.184,6.9259
408.183,6.9195
409.183,6.913
410.184,6.9062
411.184,6.8993
412.184,6.8922
413.184,6.8859
414.184,6.8797
415.184,6.8732
416.184,6.8672
417.184,6.8595
418.184,6.8541
419.184,6.8475
420.184,6.8405
421.184,6.8339
422.184,6.8276
423.184,6.8216
424.184,6.8148
425.184,6.8083
426.184,6.802
427.184,6.7952
